"Country Name";"Country Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Least developed countries: UN classification";"LDC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"19.878233335271";;;;;;;;;;"23.5792127785114";;;;;;;;;;"31.435198132867";;"34.3374657642783";;;;
"Low income";"LIC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"15.0337728378809";;;;;;;;;;"17.487235294301";;;;;;;;;;"22.6685144004033";;"25.4200352741029";;;;
"Liechtenstein";"LIE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Sri Lanka";"LKA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"78.28773";;;;;;;;;;"80.7";;;;;;;;;;"85.1";;"88.66256";;;;
"Lower middle income";"LMC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"55.0411323206831";;;;;;;;;;"64.7888762136735";;;;;;;;;;"74.8115297610785";;"78.0282878370954";;;;
"Low & middle income";"LMY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"70.2466067623449";;;;;;;;;;"75.0956700041868";;;;;;;;;;"79.8315617547928";;"81.6441324685752";;;;
"Lesotho";"LSO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.387741";;;;;;;;;;"5";;;;;;;;;;"17";;"20.56256";;;;
"Late-demographic dividend";"LTE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92.4598090425529";;;;;;;;;;"95.7797132572277";;;;;;;;;;"98.2416548669568";;"98.8517335230557";;;;
"Lithuania";"LTU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Luxembourg";"LUX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Latvia";"LVA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Macao SAR, China";"MAC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80.80292";;;;;;;;;;"84";;;;;;;;;;"87.54047";;"90.54264";;;;
"St. Martin (French part)";"MAF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Morocco";"MAR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"49.2";;;;;;;;;;"71.1";;;;;;;;;;"98.9";;"100";;;;
"Monaco";"MCO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Moldova";"MDA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92.21566";;;;;;;;;;"95.05585";;;;;;;;;;"98.6";;"100";;;;
"Madagascar";"MDG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"9.2";;;;;;;;;;"11.39801";;;;;;;;;;"14.3";;"15.4";;;;
"Maldives";"MDV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93.51566";;;;;;;;;;"96.35585";;;;;;;;;;"99.9";;"100";;;;
"Middle East & North Africa";"MEA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85.9062044351578";;;;;;;;;;"90.4999937918372";;;;;;;;;;"94.6305227773229";;"96.2013119712851";;;;
"Mexico";"MEX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96";;;;;;;;;;"98";;;;;;;;;;"99";;"99.1";;;;
"Marshall Islands";"MHL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Middle income";"MIC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"74.7331326880303";;;;;;;;;;"80.381915952257";;;;;;;;;;"85.9393698794734";;"87.8447436239047";;;;
"Macedonia, FYR";"MKD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92.61566";;;;;;;;;;"95.45585";;;;;;;;;;"99";;"100";;;;
"Mali";"MLI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12.03774";;;;;;;;;;"16.7";;;;;;;;;;"16.6";;"25.6";;;;
"Malta";"MLT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Myanmar";"MMR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"43.28774";;;;;;;;;;"47";;;;;;;;;;"48.8";;"52.36256";;;;
"Middle East & North Africa (excluding high income)";"MNA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85.5347705909291";;;;;;;;;;"90.2297207305781";;;;;;;;;;"94.5731366782061";;"95.8971400794669";;;;
"Montenegro";"MNE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Mongolia";"MNG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"79.81566";;;;;;;;;;"82.65585";;;;;;;;;;"86.2";;"89.76256";;;;
"Northern Mariana Islands";"MNP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mozambique";"MOZ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.43774";;;;;;;;;;"7.1";;;;;;;;;;"15";;"20.2";;;;
"Mauritania";"MRT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"11.81566";;;;;;;;;;"14.65585";;;;;;;;;;"18.2";;"21.76256";;;;
"Mauritius";"MUS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96.55982";;;;;;;;;;"99.4";;;;;;;;;;"100";;"100";;;;
"Malawi";"MWI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"3.2";;;;;;;;;;"4.8";;;;;;;;;;"8.7";;"9.8";;;;
"Malaysia";"MYS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93.23774";;;;;;;;;;"96.4";;;;;;;;;;"99.3";;"100";;;;
"North America";"NAC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Namibia";"NAM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"26.4";;;;;;;;;;"36.5";;;;;;;;;;"43.7";;"47.26256";;;;
"New Caledonia";"NCL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Niger";"NER";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.2";;;;;;;;;;"6.7";;;;;;;;;;"9.3";;"14.4";;;;
"Nigeria";"NGA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"41.83774";;;;;;;;;;"44.9";;;;;;;;;;"48";;"55.6";;;;
"Nicaragua";"NIC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"71";;;;;;;;;;"72";;;;;;;;;;"73";;"77.9";;;;
"Netherlands";"NLD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Norway";"NOR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Nepal";"NPL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"69.91566";;;;;;;;;;"72.75585";;;;;;;;;;"76.3";;"76.3";;;;
"Nauru";"NRU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"New Zealand";"NZL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"OECD members";"OED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.3714373096508";;;;;;;;;;"99.7253532486954";;;;;;;;;;"99.8790111613697";;"99.9071420314211";;;;
"Oman";"OMN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"Other small states";"OSS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"57.1343353006052";;;;;;;;;;"58.8437019964715";;;;;;;;;;"63.8276682429064";;"67.8418988392972";;;;
"Pakistan";"PAK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"59.6";;;;;;;;;;"79.5";;;;;;;;;;"91.4";;"93.6";;;;
"Panama";"PAN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Peru";"PER";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"69";;;;;;;;;;"72.8615";;;;;;;;;;"85";;"91.2";;;;
"Philippines";"PHL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"65.4";;;;;;;;;;"71.3";;;;;;;;;;"83.3";;"87.5";;;;
"Palau";"PLW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Papua New Guinea";"PNG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"8.159818";;;;;;;;;;"11";;;;;;;;;;"14.5";;"18.10671";;;;
"Poland";"POL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Pre-demographic dividend";"PRE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"23.5142885292367";;;;;;;;;;"26.9549435241447";;;;;;;;;;"31.3961054843745";;"34.9084401298843";;;;
"Puerto Rico";"PRI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Korea, Dem. Peopleâ€™s Rep.";"PRK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"19.61566";;;;;;;;;;"22.45585";;;;;;;;;;"26";;"29.56256";;;;
"Portugal";"PRT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Paraguay";"PRY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"86";;;;;;;;;;"93.2499";;;;;;;;;;"97";;"98.2";;;;
"Pacific island small states";"PSS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"44.2040751006788";;;;;;;;;;"46.4844820792755";;;;;;;;;;"48.9435144789942";;"51.9441253993063";;;;
"Post-demographic dividend";"PST";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"99.2720922354449";;;;;;;;;;"99.6773895143456";;;;;;;;;;"99.9662747949162";;"99.9920042145486";;;;
"French Polynesia";"PYF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Qatar";"QAT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"Romania";"ROU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Russian Federation";"RUS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Rwanda";"RWA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2.3";;;;;;;;;;"6.2";;;;;;;;;;"10.8";;"18";;;;
"South Asia";"SAS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"49.5562645245479";;;;;;;;;;"61.2287654716882";;;;;;;;;;"74.4358043988032";;"77.959604257684";;;;
"Saudi Arabia";"SAU";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"Sudan";"SDN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.61566";;;;;;;;;;"25.45585";;;;;;;;;;"29";;"32.56256";;;;
"Senegal";"SEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"26";;;;;;;;;;"36.8";;;;;;;;;;"56.5";;"56.5";;;;
"Singapore";"SGP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Solomon Islands";"SLB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"12.85982";;;;;;;;;;"15.7";;;;;;;;;;"19.2";;"22.80671";;;;
"Sierra Leone";"SLE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"5.715664";;;;;;;;;;"8.555846";;;;;;;;;;"12.1";;"14.2";;;;
"El Salvador";"SLV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"77";;;;;;;;;;"87";;;;;;;;;;"92";;"93.7";;;;
"San Marino";"SMR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Somalia";"SOM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.23787";;;;;;;;;;"25.9093";;;;;;;;;;"29.1";;"32.70795";;;;
"Serbia";"SRB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Sub-Saharan Africa (excluding high income)";"SSA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.7614134433191";;;;;;;;;;"26.0556209842251";;;;;;;;;;"31.764990528867";;"35.3007098139606";;;;
"South Sudan";"SSD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0";;;;;;;;;;"0";;;;;;;;;;"1.5";;"5.062558";;;;
"Sub-Saharan Africa";"SSF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.771570198244";;;;;;;;;;"26.0645323630819";;;;;;;;;;"31.7720008239166";;"35.3069005381226";;;;
"Small states";"SST";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"62.9038924738587";;;;;;;;;;"64.4318611611328";;;;;;;;;;"68.4809149469957";;"71.7476138623607";;;;
"Sao Tome and Principe";"STP";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"50.28774";;;;;;;;;;"52.9";;;;;;;;;;"56.9";;"60.46256";;;;
"Suriname";"SUR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95.48508";;;;;;;;;;"99.6241";;;;;;;;;;"100";;"100";;;;
"Slovak Republic";"SVK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Slovenia";"SVN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Sweden";"SWE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Swaziland";"SWZ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"28.81566";;;;;;;;;;"31.65585";;;;;;;;;;"35.2";;"42";;;;
"Sint Maarten (Dutch part)";"SXM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Seychelles";"SYC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96.55982";;;;;;;;;;"99.4";;;;;;;;;;"100";;"100";;;;
"Syrian Arab Republic";"SYR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85.03773";;;;;;;;;;"86.6";;;;;;;;;;"92.7";;"96.26256";;;;
"Turks and Caicos Islands";"TCA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Chad";"TCD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0.1";;;;;;;;;;"2.3";;;;;;;;;;"3.5";;"6.4";;;;
"East Asia & Pacific (IDA & IBRD countries)";"TEA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"86.9680707232239";;;;;;;;;;"92.2287407178665";;;;;;;;;;"95.6703199496435";;"96.547625421239";;;;
"Europe & Central Asia (IDA & IBRD countries)";"TEC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98.3408513924702";;;;;;;;;;"99.2738313376416";;;;;;;;;;"99.9490607129627";;"100";;;;
"Togo";"TGO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"10";;;;;;;;;;"16.97";;;;;;;;;;"27.9";;"31.46256";;;;
"Thailand";"THA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80";;;;;;;;;;"82.5";;;;;;;;;;"99.7";;"100";;;;
"Tajikistan";"TJK";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94.88774";;;;;;;;;;"99";;;;;;;;;;"100";;"100";;;;
"Turkmenistan";"TKM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"95.18774";;;;;;;;;;"99.6";;;;;;;;;;"100";;"100";;;;
"Latin America & the Caribbean (IDA & IBRD countries)";"TLA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"89.0453735074089";;;;;;;;;;"92.7544866855143";;;;;;;;;;"94.6932350551006";;"96.3770932560886";;;;
"Middle East & North Africa (IDA & IBRD countries)";"TMN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"85.5198539116128";;;;;;;;;;"90.222624039331";;;;;;;;;;"94.5786321828662";;"95.8757003720741";;;;
"Timor-Leste";"TLS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"31.61566";;;;;;;;;;"34.45584";;;;;;;;;;"38";;"41.56256";;;;
"Tonga";"TON";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80";;;;;;;;;;"85.79802";;;;;;;;;;"92.3";;"95.86256";;;;
"South Asia (IDA & IBRD)";"TSA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"49.5562645245479";;;;;;;;;;"61.2287654716882";;;;;;;;;;"74.4358043988032";;"77.959604257684";;;;
"Sub-Saharan Africa (IDA & IBRD countries)";"TSS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.771570198244";;;;;;;;;;"26.0645323630819";;;;;;;;;;"31.7720008239166";;"35.3069005381226";;;;
"Trinidad and Tobago";"TTO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"90.72205";;;;;;;;;;"94.86102";;;;;;;;;;"99";;"99.8278";;;;
"Tunisia";"TUN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"92.63774";;;;;;;;;;"95";;;;;;;;;;"99.5";;"100";;;;
"Turkey";"TUR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Tuvalu";"TUV";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"34.61567";;;;;;;;;;"37.45584";;;;;;;;;;"41";;"44.56256";;;;
"Tanzania";"TZA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.8";;;;;;;;;;"8.8";;;;;;;;;;"14.8";;"15.3";;;;
"Uganda";"UGA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.8";;;;;;;;;;"8.6";;;;;;;;;;"14.6";;"18.16256";;;;
"Ukraine";"UKR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93.41566";;;;;;;;;;"96.25585";;;;;;;;;;"99.8";;"100";;;;
"Upper middle income";"UMC";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93.0088462494467";;;;;;;;;;"96.0295467422624";;;;;;;;;;"98.0746540218072";;"98.7045918631221";;;;
"Uruguay";"URY";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96";;;;;;;;;;"97";;;;;;;;;;"99";;"99.5";;;;
"United States";"USA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Uzbekistan";"UZB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"96.85982";;;;;;;;;;"99.7";;;;;;;;;;"100";;"100";;;;
"St. Vincent and the Grenadines";"VCT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"66.8";;;;;;;;;;"70.93898";;;;;;;;;;"75.07795";;"75.90575";;;;
"Venezuela, RB";"VEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"98";;;;;;;;;;"99";;;;;;;;;;"100";;"100";;;;
"British Virgin Islands";"VGB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Virgin Islands (U.S.)";"VIR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Vietnam";"VNM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.93774";;;;;;;;;;"89.1";;;;;;;;;;"96";;"99";;;;
"Vanuatu";"VUT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"18";;;;;;;;;;"19.1";;;;;;;;;;"23.5";;"27.07681";;;;
"West Bank and Gaza";"PSE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"World";"WLD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"75.6491852684833";;;;;;;;;;"79.3131738370637";;;;;;;;;;"83.0786454092858";;"84.58465175114";;;;
"Samoa";"WSM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"80";;;;;;;;;;"89.44801";;;;;;;;;;"99.6";;"100";;;;
"Yemen, Rep.";"YEM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"38.45982";;;;;;;;;;"41.3";;;;;;;;;;"44.8";;"48.40671";;;;
"South Africa";"ZAF";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"65";;;;;;;;;;"66.1";;;;;;;;;;"82.7";;"85.4";;;;
"Congo, Dem. Rep.";"COD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.33774";;;;;;;;;;"6.7";;;;;;;;;;"15.2";;"16.4";;;;
"Zambia";"ZMB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"13.33774";;;;;;;;;;"17.4";;;;;;;;;;"18.5";;"22.06256";;;;
"Zimbabwe";"ZWE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"28.1";;;;;;;;;;"34.2";;;;;;;;;;"36.9";;"40.46256";;;;
